id,authors,title,average_rating,ratings_1,ratings_2,ratings_3,ratings_4,ratings_5,image_url
180,"Hermann Hesse, Hilda Rosner",Siddhartha,3.99,10229,25529,83698,138837,160360,https://images.gr-assets.com/books/1428715580m/52036.jpg
181,Truman Capote,In Cold Blood,4.05,10639,17836,70857,144616,157891,https://images.gr-assets.com/books/1424931136m/168642.jpg
182,"Kami Garcia, Margaret Stohl","Beautiful Creatures (Caster Chronicles, #1)",3.76,19917,43525,113352,132492,149232,https://images.gr-assets.com/books/1327873282m/6304335.jpg
183,Cassandra Clare,"Clockwork Angel (The Infernal Devices, #1)",4.33,8364,15544,61409,140928,289514,https://images.gr-assets.com/books/1454962884m/7171637.jpg
184,"Roald Dahl, Quentin Blake",Matilda,4.29,4277,10823,64536,152003,231852,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
185,Erin Morgenstern,The Night Circus,4.03,11349,28650,84254,159596,190977,https://images.gr-assets.com/books/1387124618m/9361589.jpg
186,Philippa Gregory,"The Other Boleyn Girl (The Plantagenet and Tudor Novels, #9)",4.04,5311,16716,78620,153807,144769,https://images.gr-assets.com/books/1355932638m/37470.jpg
187,Scott Westerfeld,"Uglies (Uglies, #1)",3.86,15531,34808,106086,151540,156624,https://images.gr-assets.com/books/1443904172m/24770.jpg
188,George R.R. Martin,"A Dance with Dragons (A Song of Ice and Fire, #5)",4.31,2399,10150,53744,147136,211189,https://images.gr-assets.com/books/1327885335m/10664113.jpg
189,J.R.R. Tolkien,"The Lord of the Rings (The Lord of the Rings, #1-3)",4.47,4807,9577,37552,106818,277592,https://images.gr-assets.com/books/1411114164m/33.jpg
190,Cheryl Strayed,Wild: From Lost to Found on the Pacific Crest Trail,3.96,8344,22137,85489,165482,139451,https://images.gr-assets.com/books/1453189881m/12262741.jpg
191,"Alan Moore, Dave Gibbons, John Higgins",Watchmen,4.35,6349,11732,44847,116877,229518,https://images.gr-assets.com/books/1442239711m/472331.jpg
192,Patrick Rothfuss,"The Name of the Wind (The Kingkiller Chronicle, #1)",4.55,5605,8582,28480,95470,311235,https://images.gr-assets.com/books/1472068073m/186074.jpg
193,Malcolm Gladwell,Outliers: The Story of Success,4.11,4494,12545,62510,148978,140599,https://images.gr-assets.com/books/1344266315m/3228917.jpg
194,"Herman Melville, Andrew Delbanco, Tom Quirk","Moby-Dick or, The Whale",3.46,35983,52601,103625,102432,103322,https://images.gr-assets.com/books/1327940656m/153747.jpg
195,"Mary Ann Shaffer, Annie Barrows",The Guernsey Literary and Potato Peel Pie Society,4.12,7190,17250,68942,155107,175183,https://images.gr-assets.com/books/1351979318m/2728527.jpg
196,Chuck Palahniuk,Fight Club,4.2,4578,12632,58110,139554,173780,https://images.gr-assets.com/books/1357128997m/5759.jpg
197,Charlaine Harris,"Dead Until Dark (Sookie Stackhouse, #1)",3.96,11330,25781,96290,148326,163097,https://images.gr-assets.com/books/1468560853m/301082.jpg
198,Alice Walker,The Color Purple,4.17,6298,14477,62380,140835,176975,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
199,John Grogan,Marley and Me: Life and Love With the World's Worst Dog,4.12,5485,14940,68532,131536,158855,https://images.gr-assets.com/books/1308858322m/12691.jpg
200,Agatha Christie,And Then There Were None,4.23,6134,12476,66243,156306,215521,https://images.gr-assets.com/books/1391120695m/16299.jpg
201,Dan Brown,"The Lost Symbol (Robert Langdon, #3)",3.66,11293,40545,120122,136545,96477,https://images.gr-assets.com/books/1358274396m/6411961.jpg
202,Becca Fitzpatrick,"Hush, Hush (Hush, Hush, #1)",4.0,19338,33543,82544,120204,206173,https://images.gr-assets.com/books/1358261334m/6339664.jpg
203,Jamie McGuire,"Beautiful Disaster (Beautiful, #1)",4.15,17185,23298,61993,115123,225097,https://images.gr-assets.com/books/1358259032m/11505797.jpg
204,Charles Dickens,A Christmas Carol,4.02,6737,21415,93906,153823,165515,https://images.gr-assets.com/books/1406512317m/5326.jpg
205,Anne Rice,"Interview with the Vampire (The Vampire Chronicles, #1)",3.97,7519,22377,84804,137659,141582,https://images.gr-assets.com/books/1380631642m/43763.jpg
206,Kiera Cass,"The Selection (The Selection, #1)",4.15,13841,25349,83692,158716,257493,https://images.gr-assets.com/books/1322103400m/10507293.jpg
207,Janet Evanovich,"One for the Money (Stephanie Plum, #1)",4.03,9176,19657,80319,133454,160709,https://images.gr-assets.com/books/1316730230m/6853.jpg
208,Rebecca Skloot,The Immortal Life of Henrietta Lacks,4.04,10782,18237,70339,151226,153856,https://images.gr-assets.com/books/1327878144m/6493208.jpg
209,Thomas Harris,"The Silence of the Lambs  (Hannibal Lecter, #2)",4.14,10268,12845,55427,123652,163920,https://images.gr-assets.com/books/1390426249m/23807.jpg
210,Richelle Mead,"Vampire Academy (Vampire Academy, #1)",4.14,12535,22043,73357,129382,217834,https://images.gr-assets.com/books/1361098973m/345627.jpg
211,Malcolm Gladwell,Blink: The Power of Thinking Without Thinking,3.89,6804,20128,85934,139947,107525,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
212,Ian McEwan,Atonement,3.88,11473,25462,77135,134788,116800,https://images.gr-assets.com/books/1320449708m/6867.jpg
213,"Franz Kafka, Stanley Corngold",The Metamorphosis,3.78,15430,33226,98774,146297,120806,https://images.gr-assets.com/books/1359061917m/485894.jpg
214,Rick Riordan,"The Titan's Curse (Percy Jackson and the Olympians, #3)",4.33,1863,7934,65220,162371,248874,https://images.gr-assets.com/books/1361038385m/561456.jpg
215,Ernest Cline,Ready Player One,4.31,5150,12928,48285,134107,221349,https://images.gr-assets.com/books/1500930947m/9969571.jpg
216,Garth Stein,The Art of Racing in the Rain,4.19,4808,13901,53780,118166,163664,https://images.gr-assets.com/books/1377206302m/3153910.jpg
217,"Erik Larson, Tony Goldwyn","The Devil in the White City: Murder, Magic, and Madness at the Fair That Changed America",3.98,6687,18709,69012,135360,120839,https://images.gr-assets.com/books/1312066724m/21996.jpg
218,Sylvia Day,"Bared to You (Crossfire, #1)",4.19,9867,18983,55554,104657,197075,https://images.gr-assets.com/books/1477803272m/13572249.jpg
219,"C.S. Lewis, Pauline Baynes","The Chronicles of Narnia (Chronicles of Narnia, #1-7)",4.24,3772,12192,59975,133056,192681,https://images.gr-assets.com/books/1449868701m/11127.jpg
220,Mark Cotta Vaz,Twilight: The Complete Illustrated Movie Companion,4.23,6862,11019,48008,67939,158071,https://images.gr-assets.com/books/1352539022m/3609760.jpg
221,Dave Pelzer,"A Child Called ""It"" (Dave Pelzer #1)",4.08,7819,16453,57341,98786,140899,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
222,Robert Ludlum,"The Bourne Identity (Jason Bourne, #1)",3.98,10266,17695,65161,118463,124627,https://images.gr-assets.com/books/1335860740m/7869.jpg
223,Eoin Colfer,"Artemis Fowl (Artemis Fowl, #1)",3.82,14473,30894,94950,129607,129241,https://images.gr-assets.com/books/1327945104m/249747.jpg
224,Lauren Kate,"Fallen (Fallen, #1)",3.74,23594,41578,94145,107149,141642,https://images.gr-assets.com/books/1440619649m/6487308.jpg
225,John Steinbeck,East of Eden,4.35,4183,9409,39153,96741,187196,https://images.gr-assets.com/books/1441547516m/4406.jpg
226,Gillian Flynn,Dark Places,3.92,5169,17975,89242,165108,109113,https://images.gr-assets.com/books/1354988288m/5886881.jpg
227,John Grisham,The Client,3.97,2530,12566,79176,129019,102372,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
228,"Emma McLaughlin, Nicola Kraus","The Nanny Diaries (Nanny, #1)",3.4,17006,43014,116021,95951,56081,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
229,"Lewis Carroll, John Tenniel, Martin Gardner",Alice's Adventures in Wonderland & Through the Looking-Glass,4.06,5294,17482,76985,127906,149523,https://images.gr-assets.com/books/1327872220m/24213.jpg
230,"Jane Austen, James Kinsley, Deidre Shauna Lynch",Persuasion,4.13,6688,15653,71218,133222,175578,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
231,Tatiana de Rosnay,Sarah's Key,4.14,3865,12684,55760,134748,140574,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
232,Stephen King,"The Gunslinger (The Dark Tower, #1)",3.99,9958,24111,72736,112895,146677,https://images.gr-assets.com/books/1375776480m/43615.jpg
233,"Gabriel García Márquez, Edith Grossman",Love in the Time of Cholera,3.89,11450,23825,65668,110544,111974,https://images.gr-assets.com/books/1327124987m/9712.jpg
234,Laurie Halse Anderson,Speak,4.0,7770,21049,76503,125660,141422,https://images.gr-assets.com/books/1310121762m/439288.jpg
235,Liane Moriarty,The Husband's Secret,3.92,4175,15649,80869,155945,95167,https://images.gr-assets.com/books/1460577225m/17802724.jpg
236,Jon Krakauer,Into Thin Air: A Personal Account of the Mount Everest Disaster,4.11,8041,10286,46060,112601,124605,https://images.gr-assets.com/books/1463384482m/1898.jpg
237,Stephen King,Carrie,3.93,4564,19479,96352,136054,121201,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
238,Augusten Burroughs,Running with Scissors,3.7,13569,27249,78405,105786,81379,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
239,Max Brooks,World War Z: An Oral History of the Zombie War,4.01,7680,19887,65570,121537,130475,https://images.gr-assets.com/books/1386328204m/8908.jpg
240,Dan Brown,"Inferno (Robert Langdon, #4)",3.8,7261,26077,89237,128374,94611,https://images.gr-assets.com/books/1397093185m/17212231.jpg
241,Lois Lowry,Number the Stars,4.11,3797,12794,63919,123296,138559,https://images.gr-assets.com/books/1370917812m/47281.jpg
242,James Patterson,"Along Came a Spider (Alex Cross, #1)",4.08,4281,10929,61630,118236,122955,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
243,Stephen King,Misery,4.11,4302,12725,64835,128990,141351,https://images.gr-assets.com/books/1270545451m/10614.jpg
244,Gillian Flynn,Sharp Objects,3.92,4988,17566,81036,147558,103690,https://images.gr-assets.com/books/1423241485m/66559.jpg
245,Katherine Paterson,Bridge to Terabithia,3.98,8287,20081,74409,119504,131193,https://images.gr-assets.com/books/1327880087m/2839.jpg
246,"P.C. Cast, Kristin Cast","Marked (House of Night, #1)",3.79,21547,34170,81486,97982,135835,https://images.gr-assets.com/books/1317067002m/30183.jpg
247,Stephen R. Covey,The 7 Habits of Highly Effective People: Powerful Lessons in Personal Change,4.05,9038,17041,61036,109359,137410,https://images.gr-assets.com/books/1421842784m/36072.jpg
248,"William Shakespeare, Barbara A. Mowat, Paul Werstine, Catherine Belsey",A Midsummer Night's Dream,3.94,5598,20498,84388,130051,120975,https://images.gr-assets.com/books/1327874534m/1622.jpg
249,Jonathan Safran Foer,Extremely Loud and Incredibly Close,3.97,8847,20556,61303,109008,119402,https://images.gr-assets.com/books/1327879967m/4588.jpg
250,R.J. Palacio,Wonder,4.43,4504,7833,34567,105977,224910,https://images.gr-assets.com/books/1309285027m/11387515.jpg
251,Dr. Seuss,The Cat in the Hat,4.15,6179,14497,57850,85944,152712,https://images.gr-assets.com/books/1468890477m/233093.jpg
252,Marissa Meyer,"Cinder (The Lunar Chronicles, #1)",4.15,12154,18256,66180,150914,206642,https://images.gr-assets.com/books/1470056948m/11235712.jpg
253,"Robert Galbraith, J.K. Rowling","The Cuckoo's Calling (Cormoran Strike, #1)",3.83,9729,20151,79290,138955,92370,https://images.gr-assets.com/books/1358716559m/16160797.jpg
254,Maggie Stiefvater,"Shiver (The Wolves of Mercy Falls, #1)",3.78,17815,35108,86129,105099,126660,https://images.gr-assets.com/books/1409283154m/6068551.jpg
255,"Ayn Rand, Leonard Peikoff",Atlas Shrugged,3.68,30901,27442,53762,78744,105796,https://images.gr-assets.com/books/1405868167m/662.jpg
256,"Greg Mortenson, David Oliver Relin",Three Cups of Tea: One Man's Mission to Promote Peace ... One School at a Time,3.64,14371,27844,77127,97820,71358,https://images.gr-assets.com/books/1395407074m/49436.jpg
257,"Jane Carruth, Lewis Carroll, Rene Cloke",Alice in Wonderland,4.03,7467,18101,70170,109730,137803,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
258,"Carlos Ruiz Zafón, Lucia Graves","The Shadow of the Wind (The Cemetery of Forgotten Books,  #1)",4.24,4789,11769,42214,101612,157170,https://images.gr-assets.com/books/1344545047m/1232.jpg
259,James Dashner,"The Scorch Trials (Maze Runner, #2)",3.93,5525,21370,79458,124458,115496,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
260,Dale Carnegie,How to Win Friends and Influence People,4.13,6734,13880,50529,94743,139551,https://images.gr-assets.com/books/1442726934m/4865.jpg
261,Frances Mayes,Under the Tuscan Sun,3.72,12008,22882,74910,93439,78597,https://images.gr-assets.com/books/1320524083m/480479.jpg
262,Liane Moriarty,Big Little Lies,4.2,3775,7865,49115,159494,151184,https://images.gr-assets.com/books/1492239430m/19486412.jpg
263,Gail Carson Levine,Ella Enchanted,3.97,6619,20066,80272,110568,128224,https://images.gr-assets.com/books/1410727190m/24337.jpg
264,Ernest Hemingway,The Sun Also Rises,3.83,9602,23682,70004,105785,94044,https://images.gr-assets.com/books/1331828228m/3876.jpg
265,Betty  Smith,A Tree Grows in Brooklyn,4.24,3693,9667,43734,103879,148027,https://images.gr-assets.com/books/1327883484m/14891.jpg
266,James Patterson,"Kiss the Girls (Alex Cross, #2)",3.93,10518,14558,58296,95980,99764,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
267,Kristin Hannah,The Nightingale,4.54,2829,4913,20612,82844,215817,https://images.gr-assets.com/books/1451446316m/21853621.jpg
268,Kazuo Ishiguro,Never Let Me Go,3.8,9081,26036,78203,118163,92144,https://images.gr-assets.com/books/1353048590m/6334.jpg
269,Cecelia Ahern,P.S. I Love You,4.01,7027,16336,56951,90089,113010,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
270,"Daphne du Maurier, Sally Beauman",Rebecca,4.2,4565,10900,49263,112768,152100,https://images.gr-assets.com/books/1327871977m/12873.jpg
271,Daniel Keyes,Flowers for Algernon,4.07,4223,14882,65106,122462,129526,https://images.gr-assets.com/books/1367141311m/18373.jpg
272,"Laura Esquivel, Thomas  Christensen, Carol Christensen",Like Water for Chocolate,3.94,8887,15941,60147,100011,100483,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
273,Lisa See,Snow Flower and the Secret Fan,4.05,3268,11286,56005,116178,103923,https://images.gr-assets.com/books/1327880508m/1103.jpg
274,"Mario Puzo, Robert Thompson, Peter Bart",The Godfather,4.36,2930,5985,30009,83730,147732,https://images.gr-assets.com/books/1394988109m/22034.jpg
275,John Green,An Abundance of Katherines,3.63,14225,36867,98115,111740,86477,https://images.gr-assets.com/books/1360206426m/49750.jpg
276,Isaac Asimov,Foundation (Foundation #1),4.13,7697,12471,47251,97583,132586,https://images.gr-assets.com/books/1417900846m/29579.jpg
277,Neil Gaiman,The Ocean at the End of the Lane,3.99,7038,18089,64714,127761,118649,https://images.gr-assets.com/books/1497098563m/15783514.jpg
278,Shel Silverstein,A Light in the Attic,4.34,3585,7593,38923,85051,169362,https://images.gr-assets.com/books/1427169918m/30118.jpg
279,"John Tiffany, Jack Thorne, J.K. Rowling","Harry Potter and the Cursed Child - Parts One and Two (Harry Potter, #8)",3.75,15828,35842,96395,133156,116552,https://images.gr-assets.com/books/1470082995m/29056083.jpg
280,Lauren Oliver,"Delirium (Delirium, #1)",3.99,8868,21223,68789,117580,135938,https://images.gr-assets.com/books/1327890411m/11614718.jpg
281,John Grisham,The Pelican Brief,3.95,2362,12423,73587,116438,91358,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
282,Neil Gaiman,Coraline,4.03,7078,15010,67188,126167,128187,https://images.gr-assets.com/books/1493497435m/17061.jpg
283,"Terry Pratchett, Neil Gaiman","Good Omens: The Nice and Accurate Prophecies of Agnes Nutter, Witch",4.25,4991,10988,44804,101159,164431,https://images.gr-assets.com/books/1392528568m/12067.jpg
284,Jack Kerouac,On the Road,3.64,13769,31221,70104,88569,74221,https://images.gr-assets.com/books/1413588576m/70401.jpg
285,Graeme Simsion,"The Rosie Project (Don Tillman, #1)",4.01,4544,11558,57792,133951,97664,https://images.gr-assets.com/books/1371651741m/16181775.jpg
286,Nicholas Sparks,The Lucky One,4.1,3661,11792,54208,94613,117049,https://images.gr-assets.com/books/1420816338m/3063499.jpg
287,"Ayn Rand, Leonard Peikoff",The Fountainhead,3.85,18158,18720,44131,76424,97543,https://images.gr-assets.com/books/1491163636m/2122.jpg
288,Tom Clancy,"The Hunt for Red October (Jack Ryan Universe, #4)",4.01,9470,13707,49906,95296,109876,https://images.gr-assets.com/books/1281995542m/19691.jpg
289,Richard Adams,"Watership Down (Watership Down, #1)",4.05,9158,15767,52906,102093,128449,https://images.gr-assets.com/books/1405136931m/76620.jpg
290,Mindy Kaling,Is Everyone Hanging Out Without Me? (And Other Concerns),3.84,6438,18856,81229,117248,89160,https://images.gr-assets.com/books/1443264638m/10335308.jpg
291,Abraham Verghese,Cutting for Stone,4.28,4586,9249,32671,91293,143280,https://images.gr-assets.com/books/1327931601m/3591262.jpg
292,"C.S. Lewis, Pauline Baynes","The Voyage of the Dawn Treader (Chronicles of Narnia, #3)",4.08,2658,12490,69089,112121,128906,https://images.gr-assets.com/books/1343185059m/140225.jpg
293,Robert Louis Stevenson,Treasure Island,3.82,5349,19127,86487,114968,84584,https://images.gr-assets.com/books/1485248909m/295.jpg
